,muestra,solvente
2.90749E-24,4.19611E+24,1.26189E+23
2.90323E-24,5.85775E+24,2.08286E+23
2.89898E-24,4.49381E+24,3.74276E+23
2.89474E-24,4.98264E+24,-4.95615E+22
2.89051E-24,4.28563E+24,2.51567E+23
2.8863E-24,3.91736E+24,2.04414E+23
2.8821E-24,5.00022E+24,2.59723E+23
2.87791E-24,3.86969E+24,1.23238E+23
2.87373E-24,4.2089E+24,8.94881E+22
2.86957E-24,3.67222E+24,3.45582E+23
2.86541E-24,3.91886E+24,2.21735E+23
2.86127E-24,3.8365E+24,2.06572E+23
2.85714E-24,3.16886E+24,2.67194E+23
2.85303E-24,3.22142E+24,3.49293E+23
2.84892E-24,4.28444E+24,3.15826E+23
2.84483E-24,3.23134E+24,2.00814E+23
2.84075E-24,3.44266E+24,2.24666E+23
2.83668E-24,2.65114E+24,3.11458E+23
2.83262E-24,2.74965E+24,6.33381E+22
2.82857E-24,3.67417E+24,1.50384E+23
